department,product_category,total_sales_value,total_baskets,unique_households,unique_products
PHOTO & VIDEO,REFRGRATD DOUGH PRODUCTS,38.910000000000004,16,16,2
DRUG GM,FD WRAPS/BAGS/TRSH BG,32.74,8,8,1
FLORAL,EASTER LILY,31.98,1,1,1
MEAT,RW FRESH PROCESSED MEAT,30.84,16,10,2
DRUG GM,MISCELLANEOUS HBC,30.490000000000002,11,9,2
SEAFOOD-PCKGD,PKG.SEAFOOD MISC,27.92,6,2,1
NUTRITION,BULK FOODS,20.060000000000002,5,5,5
PRODUCE,SALAD BAR,16.6,4,3,3
PHOTO & VIDEO,BEERS/ALES,12.79,1,1,1
PRODUCE,PROD SUPPLIES,12.46,6,3,2
NUTRITION,NDAIRY/TEAS/JUICE/SOD,9.4,1,1,1
NUTRITION,ORGANICS FRUIT & VEGETABLES,8.97,3,3,1
MEAT,COUPON,7.0,6,5,1
POSTAL CENTER,CANDY - PACKAGED,6.57,5,5,1
FROZEN GROCERY,MISCELLANEOUS CROUTONS,6.39,1,1,1
SALAD BAR,PROD SUPPLIES,4.71,7,7,1
TRAVEL & LEISURE,MELONS,4.4,2,2,1
TOYS,TOYS,4.17,2,2,2
TRAVEL & LEISURE,TROPICAL FRUIT,4.09,3,3,1
PROD-WHS SALES,PROD SUPPLIES,2.52,3,1,1
MEAT,LUNCHMEAT,2.2,1,1,1
SEAFOOD,SEAFOOD - MISC,1.0,1,1,1
ELECT &PLUMBING,COUPON,1.0,1,1,1
MEAT,MISCELLANEOUS,0.95,1,1,1
AUTOMOTIVE,NEWSPAPER,0.5,1,1,1
MEAT,BACON,0.3,1,1,1
