department,product_category,total_sales_value,total_baskets,unique_households,unique_products,average_sales_per_basket
DELI,SERVICE BEVERAGE,201.32000000000002,147,65,30,1.3695238095238096
NUTRITION,NATURAL VITAMINS,194.45999999999998,21,17,12,9.26
COSMETICS,COUPON/MISC ITEMS,188.22,28,25,1,6.722142857142857
DRUG GM,SEWING,184.74,86,80,29,2.148139534883721
MEAT,VEAL,167.13,32,27,12,5.2228125
FLORAL,GIFT & FRUIT BASKETS,159.39,12,11,6,13.282499999999999
GROCERY,FRZN SEAFOOD,149.76000000000002,29,21,5,5.1641379310344835
SEAFOOD,MEAT SUPPLIES,137.34,19,18,1,7.228421052631579
DRUG GM,NATURAL HBC,84.08,17,16,14,4.945882352941176
GROCERY,BOTTLE DEPOSITS,68.9,33,10,7,2.087878787878788
GM MERCH EXP,COUPON/MISC ITEMS,67.02,39,27,1,1.7184615384615383
DRUG GM,WATCHES/CALCULATORS/LOBBY,66.1,14,13,10,4.721428571428571
GROCERY,RESTRICTED DIET,64.59,22,17,18,2.935909090909091
MEAT,MEAT SUPPLIES,57.03,13,8,3,4.386923076923077
FLORAL,BOUQUET (NON ROSE),53.93,7,7,1,7.704285714285715
DRUG GM,PHARMACY,50.940000000000005,6,6,5,8.49
DRUG GM,HOME HEALTH CARE,49.519999999999996,4,4,4,12.379999999999999
CNTRL/STORE SUP,COUPON/MISC ITEMS,44.95,15,14,4,2.996666666666667
DRUG GM,COUPON/MISC ITEMS,44.42,11,9,5,4.038181818181818
MEAT,MEAT - MISC,39.660000000000004,9,7,2,4.406666666666667
PRODUCE,DRIED FRUIT,39.39,20,19,9,1.9695
PHOTO & VIDEO,REFRGRATD DOUGH PRODUCTS,38.910000000000004,16,16,2,2.4318750000000002
DRUG GM,FD WRAPS/BAGS/TRSH BG,32.74,8,8,1,4.0925
FLORAL,EASTER LILY,31.98,1,1,1,31.98
MEAT,RW FRESH PROCESSED MEAT,30.84,16,10,2,1.9275
DRUG GM,MISCELLANEOUS HBC,30.490000000000002,11,9,2,2.771818181818182
SEAFOOD-PCKGD,PKG.SEAFOOD MISC,27.92,6,2,1,4.653333333333333
NUTRITION,BULK FOODS,20.060000000000002,5,5,5,4.0120000000000005
PRODUCE,SALAD BAR,16.6,4,3,3,4.15
PHOTO & VIDEO,BEERS/ALES,12.79,1,1,1,12.79
PRODUCE,PROD SUPPLIES,12.46,6,3,2,2.0766666666666667
NUTRITION,NDAIRY/TEAS/JUICE/SOD,9.4,1,1,1,9.4
NUTRITION,ORGANICS FRUIT & VEGETABLES,8.97,3,3,1,2.99
MEAT,COUPON,7.0,6,5,1,1.1666666666666667
POSTAL CENTER,CANDY - PACKAGED,6.57,5,5,1,1.314
FROZEN GROCERY,MISCELLANEOUS CROUTONS,6.39,1,1,1,6.39
SALAD BAR,PROD SUPPLIES,4.71,7,7,1,0.6728571428571428
TRAVEL & LEISURE,MELONS,4.4,2,2,1,2.2
TOYS,TOYS,4.17,2,2,2,2.085
TRAVEL & LEISURE,TROPICAL FRUIT,4.09,3,3,1,1.3633333333333333
PROD-WHS SALES,PROD SUPPLIES,2.52,3,1,1,0.84
MEAT,LUNCHMEAT,2.2,1,1,1,2.2
SEAFOOD,SEAFOOD - MISC,1.0,1,1,1,1.0
ELECT &PLUMBING,COUPON,1.0,1,1,1,1.0
MEAT,MISCELLANEOUS,0.95,1,1,1,0.95
AUTOMOTIVE,NEWSPAPER,0.5,1,1,1,0.5
MEAT,BACON,0.3,1,1,1,0.3
